latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
32.3835,75.36286,339.45,0.42,0.38,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,308.28,5.52,D
32.38566,75.29273,342.96,0.42,0.38,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,309.49,4.94,D
32.07961,73.65053,333.47,0.49,0.4,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,307.89,2.11,D
32.39613,75.32389,340.13,0.42,0.38,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,309.26,5.12,D
32.10346,73.71445,334.84,0.49,0.4,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,307.36,2.75,D
32.39828,75.29553,339.87,0.42,0.38,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,308.6,2.53,D
32.40908,75.31616,338.45,0.42,0.38,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,310.02,4.1,D
32.0987,73.6293,335.11,0.49,0.41,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,305.44,0.81,D
32.09912,73.59115,338.08,0.5,0.41,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,308.43,3.08,D
32.13785,73.75378,337.34,0.49,0.4,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,307.47,2.63,D
32.11342,73.62546,337.2,0.49,0.41,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,307,2.75,D
32.13819,73.61356,331.49,0.49,0.41,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,305.38,1.03,D
32.14187,73.61259,332.25,0.49,0.41,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,306.63,4.96,D
32.14089,73.60742,336.69,0.49,0.41,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,306.77,4.62,D
32.23331,74.01913,332.54,0.47,0.4,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,306.17,1,D
32.22138,73.79073,336.23,0.48,0.4,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,306.8,1.46,D
32.25756,73.96596,333.91,0.48,0.4,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,307.02,3.12,D
32.36071,74.52109,334.96,0.45,0.39,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,309.34,3.4,D
32.34408,74.43092,334.37,0.45,0.39,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,305.19,1.2,D
32.25759,73.9684,339,0.47,0.4,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,307.56,3.38,D
32.4893,74.96922,338.19,0.43,0.38,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,310.82,5.46,D
32.49277,74.96837,343.01,0.43,0.38,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,310.98,3.52,D
32.49624,74.96751,340.77,0.43,0.38,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,309.45,3.52,D
32.45044,74.67052,346.81,0.44,0.39,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,311.17,5.2,D
